Location,Latitude,Longitude
Adilabad,19° 37' N,78° 30' E
Alampur,15° 54' N,78° 11' E
Armoor,18° 48' N,78° 16' E
Balkonda,19° 05' N,78° 20' E
Bhadrachalam,17° 40' N,80° 56' E
Bhainsa,19° 10' N,77° 58' E
Bodhan,18° 39' N,77° 50' E
Devarkonda,16° 42' N,78° 58' E
Gadwal,16° 13' N,77° 48' E
Golconda,17° 23' N,78° 27' E
Hanamkonda,18° 10' N,79° 46' E
Hyderabad,17° 20' N,78° 30' E
Jagtiyal,18° 48' N,79° 09' E
Kamareddy,18° 18' N,78° 22' E
Kandi,17° 36' N,78° 05' E
Karimnagar,18° 28' N,79° 06' E
Khammam,17° 15' N,80° 11' E
Kodangal,17° 08' N,77° 36' E
Kohir,17° 35' N,77° 40' E
Koilkonda,16° 45' N,77° 50' E
Koratla,18° 43' N,78° 41' E
Kosgi,17° 00' N,77° 43' E
Kothagudem,17° 30' N,80° 40' E
Mahbubnagar,16° 42' N,77° 58' E
Medak,18° 03' N,78° 18' E
Nagarkurnool,16° 30' N,78° 19' E
Nalgonda,17° 03' N,79° 02' E
Nallamala Range,15° 00' N,78° 38' E
Narayanpet,16° 46' N,77° 27' E
Nirmal,19° 06' N,78° 25 ' E
Nizamabad,18° 40 ' N,78° 10' E
Patancheru,17° 36' N,78° 2' E
Rekapalle,17° 34' N,81° 2' E
Sadasivpet,17° 4' N,77° 58' E
Secunderabad,17° 27' N,78° 33' E
Sidipett,18° 07' N,78° 5' E
Tandur,17° 17' N,77° 30' E
Vemalwada,18° 30' N,78° 56' E
Venkatapuram,18° 17' N,80° 36' E
Warangal,17° 58' N,79° 40' E
Yellandu,17° 37' N,80° 23' E
