,Characteristics of Adults (age 15-49 years),,,,
,15. Men who are literate4 (%),90.2,81.3,84.8,na
,17. Men with 10 or more years of schooling (%),71,54.6,61.2,54.5
,18. Women who have ever used the internet (%),43.9,15.8,26.5,na
,19. Men who have ever used the internet (%),72.3,46.7,57.4,na
,Marriage and Fertility,,,,
,21. Men age 25-29 years married before age 21 years (%),9.1,21.1,16.3,17.8
,22. Total fertility rate (children per woman),1.8,1.7,1.8,1.8
,24. Adolescent fertility rate for women age 15-19 years5,34,56,48,67
,"Infant and Child Mortality Rates (per 1,000 live births)",,,,
,25. Neonatal mortality rate (NNMR),13.8,18.8,16.8,20
,26. Infant mortality rate (IMR),22,29.3,26.4,27.7
,27. Under-five mortality rate (U5MR),24.7,32.4,29.4,31.7
,Delivery Care (for births in the 5 years before the survey),,,,
,50. Institutional births (%),97.7,96.6,97,91.5
,51. Institutional births in public facility (%),43.4,53.6,49.7,30.5
,52. Home births that were conducted by skilled health personnel10 (%),0.7,1.7,1.3,2.8
,53. Births attended by skilled health personnel10 (%),94.6,92.9,93.6,91.3
